l0_name,l1_name,l2_name,l0_id,l1_id,l2_id
Computer science,Algorithm,#P-complete,41008148,11413529,158487034
Computer science,Algorithm,2–3 heap,41008148,11413529,2779664235
Computer science,Algorithm,3D Life,41008148,11413529,2781052727
Computer science,Algorithm,A posteriori probability,41008148,11413529,2989444454
Computer science,Algorithm,A priori probability,41008148,11413529,163419389
Computer science,Algorithm,A* search algorithm,41008148,11413529,103578098
Computer science,Algorithm,ADFGVX cipher,41008148,11413529,2777296993
Computer science,Algorithm,AF-heap,41008148,11413529,2776079300
Computer science,Algorithm,Abstract interpretation,41008148,11413529,2780654840
Computer science,Algorithm,Abstract machine,41008148,11413529,88977235
Computer science,Algorithm,Accounting method,41008148,11413529,182931732
Computer science,Algorithm,Accumulator (cryptography),41008148,11413529,2078106
Computer science,Algorithm,Acquisition Scheme,41008148,11413529,2910528966
Computer science,Algorithm,Activity selection problem,41008148,11413529,2776312266
Computer science,Algorithm,Adaptive algorithm,41008148,11413529,2776003309
Computer science,Algorithm,Adaptive filter,41008148,11413529,102248274
Computer science,Algorithm,Adaptive heap sort,41008148,11413529,2778072752
Computer science,Algorithm,Adaptive matching,41008148,11413529,2985974601
Computer science,Algorithm,Adaptive method,41008148,11413529,2989221742
Computer science,Algorithm,Adding machine,41008148,11413529,114912173
Computer science,Algorithm,Addition-chain exponentiation,41008148,11413529,2779838412
Computer science,Algorithm,Addition-subtraction chain,41008148,11413529,2780907037
Computer science,Algorithm,Adjacency list,41008148,11413529,110484373
Computer science,Algorithm,Adleman–Pomerance–Rumely primality test,41008148,11413529,2776340056
Computer science,Algorithm,Admissible numbering,41008148,11413529,2779655667
Computer science,Algorithm,Advice (complexity),41008148,11413529,2779609414
Computer science,Algorithm,Ages of Three Children puzzle,41008148,11413529,588490
Computer science,Algorithm,Agoh–Giuga conjecture,41008148,11413529,2780996046
Computer science,Algorithm,Alberti cipher,41008148,11413529,2778379465
Computer science,Algorithm,Algorithm complexity,41008148,11413529,2989423626
Computer science,Algorithm,Algorithm configuration,41008148,11413529,2987742403
Computer science,Algorithm,Algorithm derivation,41008148,11413529,2987631561
Computer science,Algorithm,Algorithm design,41008148,11413529,106516650
Computer science,Algorithm,Algorithm optimization,41008148,11413529,2989355480
Computer science,Algorithm,Algorithm theory,41008148,11413529,2984543757
Computer science,Algorithm,Algorithmic art,41008148,11413529,2779924887
Computer science,Algorithm,Algorithmic logic,41008148,11413529,2777230049
Computer science,Algorithm,Algorithmics,41008148,11413529,34628019
Computer science,Algorithm,Algorithms performance,41008148,11413529,2987743586
Computer science,Algorithm,Aliasing (computing),41008148,11413529,142184283
Computer science,Algorithm,Alpha recursion theory,41008148,11413529,2779410214
Computer science,Algorithm,Alternating least squares,41008148,11413529,2985418749
Computer science,Algorithm,Analysis of algorithms,41008148,11413529,64731005
Computer science,Algorithm,Anatree,41008148,11413529,2779109312
Computer science,Algorithm,Ancilla bit,41008148,11413529,2776302947
Computer science,Algorithm,Ant colony optimization algorithms,41008148,11413529,40128228
Computer science,Algorithm,Apple Video,41008148,11413529,2781375500
Computer science,Algorithm,Approximate matching,41008148,11413529,2989201810
Computer science,Algorithm,Approximation algorithm,41008148,11413529,148764684
Computer science,Algorithm,Arbitrary-precision arithmetic,41008148,11413529,83581934
Computer science,Algorithm,Arborescent,41008148,11413529,2777835122
Computer science,Algorithm,Arden's Rule,41008148,11413529,2779358019
Computer science,Algorithm,Arithmetic Error,41008148,11413529,2910879134
Computer science,Algorithm,Arithmetic overflow,41008148,11413529,148129752
Computer science,Algorithm,Arithmetic shift,41008148,11413529,2781164602
Computer science,Algorithm,Array aperture,41008148,11413529,2983678191
Computer science,Algorithm,Assembly algorithm,41008148,11413529,2993819394
Computer science,Algorithm,Asymmetric C-element,41008148,11413529,2779515224
Computer science,Algorithm,Asymptotic complexity,41008148,11413529,2982803428
Computer science,Algorithm,Asymptotically optimal algorithm,41008148,11413529,181789720
Computer science,Algorithm,Atbash,41008148,11413529,2777011305
Computer science,Algorithm,Augmented Lagrangian method,41008148,11413529,150452318
Computer science,Algorithm,Augmented lagrange multiplier,41008148,11413529,2985926277
Computer science,Algorithm,Augmented lagrange multiplier method,41008148,11413529,2988687386
Computer science,Algorithm,Automated theorem proving,41008148,11413529,206880738
Computer science,Algorithm,Autowave reverberator,41008148,11413529,123131968
